Issuer BaFin-Id,Issuer,Issuer Domicile,Issuer Country,Reportable BaFin-Id,Reportable,Reportable Domicile,Reportable Country,Rights §33 & §34,Rights §38,Rights §39,Publishing Date
,,,,61008354,"Lüllemann, Thomas",,,"12,46","0,0","12,46",03.05.2016
,,,,50038815,Renate Strascheg Holding GmbH,München,Deutschland,"8,15",,,24.06.2003
,,,,60489829,"Strascheg, Falk F.",,,"6,93",,,30.03.2005
,,,,60490429,"Strascheg, Renate",,,"8,15",,,22.05.2005
50054526,alstria office REIT-AG,Hamburg,Deutschland,,,,,,,,
,,,,40027996,Brookfield Asset Management Inc.,Toronto,Kanada,"95,11","0,0","95,11",21.02.2022
40014443,Altech Advanced Materials AG,Frankfurt am Main,Deutschland,,,,,,,,
,,,,40029000,Altech Chemicals Limited,Subiaco,Australien,"27,14","0,0","27,14",10.08.2021
,,,,61069856,"Bartels-von Varnbüler, Dr. Christian",,,"4,96","0,0","4,96",12.08.2021
,,,,61069855,"Downe, Andrew",,,"4,42","0,0","4,42",12.08.2021
,,,,61019458,"Huang, Haiming",,,"90,49",,,18.08.2011
,,,,40015330,Kai Yuan International Investments Holdings Limited,Hong Kong,Hongkong,"90,49",,,19.07.2011
,,,,61019459,"Li, Narong",,,"4,42",,,19.07.2011
,,,,40015332,Yong Chang International Holdings Limited,Road Town,Brit. Jungferninseln,"4,42",,,19.07.2011
,,,,60490353,"Zours, Wilhelm Konrad Thomas",,,"41,63","0,0","41,63",09.08.2021
40001802,AlzChem Group AG,Trostberg,Deutschland,,,,,,,,
,,,,40011872,JANUS HENDERSON GROUP PLC,St Helier,"Jersey, Kanalinseln","3,03","0,0","3,03",08.07.2021
,,,,40010093,Lazard Frères Gestion S.A.S.,Paris,Frankreich,"5,11","0,0","5,11",24.06.2021
,,,,40013149,LAZARD SMALL CAPS EURO SRI,Paris,Frankreich,"4,91","0,0","4,91",26.05.2021
,,,,60490399,"Löw, Prof. Dr. Dr. Peter Werner Maria",,,"25,13","0,0","25,13",18.03.2022
,,,,50083754,M&G PLC,London,Großbritannien,"7,09","0,0","7,09",06.04.2021
,,,,61054551,"Seibel, Jan Ulli",,,"4,93","0,0","4,93",04.10.2017
,,,,60821202,"Vorderwülbecke, Dr. Martin",,,"15,05","0,0","15,05",25.04.2022
,,,,61001508,"Zöllner, Markus",,,"19,79","0,0","19,79",04.10.2017
40001855,AMADEUS FIRE AG,Frankfurt am Main,Deutschland,,,,,,,,
,,,,40029385,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),Wilmington,Vereinigte Staaten von Amerika,"4,99","0,0","4,99",28.02.2022
,,,,10105515,Allianz Global Investors GmbH,Frankfurt am Main,Deutschland,"5,06","0,0","5,06",14.02.2022
,,,,10006949,Allianz SE,München,Deutschland,"6,05","0,0","6,05",13.08.2020
,,,,10105513,DWS Investment GmbH,Frankfurt,Deutschland,"9,99","0,0","9,99",03.08.2020
,,,,40008476,Invesco Ltd.,Hamilton,Bermuda,"4,97","0,0","4,97",01.03.2022
,,,,50029602,MainFirst,Strassen,Luxemburg,"9,99",,,17.02.2015
,,,,40006389,Rhine Alpha Stars,George Town,Cayman Inseln (Kaimaninseln),"4,617",,,09.08.2007
40001140,Arcandor Aktiengesellschaft,Essen,Deutschland,,,,,,,,
,,,,40005166,Odey Asset Management LLP,London,Großbritannien,"3,23",,,08.07.2008
,,,,40002879,Scherzer & Co. Aktiengesellschaft,Köln,Deutschland,"24,5255","0,0","24,5255",12.02.2020
40001832,artnet AG,Berlin,Deutschland,,,,,,,,
,,,,61045648,"Fine, Brewster",,,"3,24",,,07.10.2015
,,,,50038356,Galerie Neuendorf Aktiengesellschaft,Berlin,Deutschland,"25,96",,,08.03.2002
,,,,61006046,"Heiss, Dr. Kyra",,,"4,38","0,0","4,38",14.01.2022
,,,,61051094,"Langenscheidt, Andreas",,,"3,3","0,0","3,3",12.10.2016
,,,,61059137,"Schaeffer, Andrea Sybill",,,"5,34","0,0","5,34",23.12.2020
,,,,61026002,"Weng, Rüdiger K.",,,"25,59","1,75","25,59",30.12.2021
,,,,61066322,"Wolff, Andrew E.",,,"4,66","0,0","4,66",23.12.2020
40002013,ATOSS Software AG,München,Deutschland,,,,,,,,
,,,,40029385,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),Wilmington,Vereinigte Staaten von Amerika,"3,04","0,0","3,04",02.02.2022
,,,,50077675,AOB Invest GmbH,Grünwald,Deutschland,"50,00003",,,06.12.2012
,,,,40008476,Invesco Ltd.,Hamilton,Bermuda,"3,05","0,0","3,05",02.02.2022
,,,,10120809,Investmentaktiengesellschaft für langfristige Investoren TGV,Bonn,Deutschland,"5,004",,,28.10.2013
,,,,50029602,MainFirst,Strassen,Luxemburg,"4,99927","0,0","4,99927",13.05.2022
,,,,60489475,"Obereder, Andreas F.J.",,,"50,00003",,,31.01.2012
40025867,Aumann AG,Beelen,Deutschland,,,,,,,,
,,,,40029385,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),Wilmington,Vereinigte Staaten von Amerika,"6,56","0,0","6,56",10.10.2019
,,,,20000603,Erste Group Bank AG,Wien,Österreich,"3,05","0,0","3,05",05.02.2021
,,,,40008476,Invesco Ltd.,Hamilton,Bermuda,"6,56","0,0","6,56",10.10.2019
,,,,40004863,MBB SE,Berlin,Deutschland,"49,17","0,0","49,17",07.12.2017
40001577,Aurubis AG,Hamburg,Deutschland,,,,,,,,
,,,,40006048,"BlackRock, Inc.",Wilmington,Vereinigte Staaten von Amerika,"3,05","0,12","3,17",13.01.2022
,,,,40011719,Dimensional Holdings Inc.,Austin,Vereinigte Staaten von Amerika,"3,15","1,25","4,4",06.11.2019
,,,,40001559,Salzgitter Aktiengesellschaft,Salzgitter,Deutschland,"25,0","0,0","25,0",13.12.2018
40030989,AUTO1 Group SE,München,Deutschland,,,,,,,,
,,,,40007740,Baillie Gifford & Co Limited,Edinburgh,Großbritannien,"5,01","0,0","5,01",07.04.2022
,,,,61067677,"Bertermann, Christian",,,"13,62","0,0","13,62",05.02.2021
,,,,40009313,Fidelity Advisor Series I,Boston,Vereinigte Staaten von Amerika,"3,16","0,0","3,16",05.04.2022
,,,,50040103,FMR LLC,Wilmington,Vereinigte Staaten von Amerika,"5,06","0,0","5,06",27.04.2022
,,,,61067678,"Koç, Hakan",,,"13,62","0,0","13,62",05.02.2021
,,,,61005960,"Mandel, Jr., Stephen F.",,,"3,21","0,0","3,21",12.02.2021
,,,,40031299,Piton Capital Investments Coöperatief B.A.,Amsterdan,Niederlande,"4,58","0,0","4,58",09.02.2021
,,,,40031498,SoftBank Group Corp.,Tokyo,Japan,"17,36","1,55","18,91",05.02.2021
